Character,Average X Ratio,Average Y Ratio,Average Width Ratio,Average Height Ratio
0__,0.9237206394249247,0.9232163768366952,31.43626092484342,31.438749387265137
1__,0.8701732861311053,0.8610627779620045,31.179987184536085,31.037446003092782
2__,0.9039122931522205,0.904011012085553,31.44003378810021,31.439477248434237
3__,0.7782353848646908,0.7782639797451536,31.219452918049793,31.23384279460581
4__,0.660775713224796,0.658307860504286,31.359410172916668,31.343752709375
5__,0.696605138847314,0.7000253301269713,30.748372874999998,30.95859767943548
6__,0.8546204714274995,0.8250238114695423,31.167652750509166,30.78036766598778
7__,0.8824296018793849,0.8772011311681643,31.022052760692464,31.00433944806517
8__,0.8564114958503798,0.8160530120266584,30.710773380761523,30.42378759719439
9__,0.6180885363020322,0.6048561190655358,30.8299914858871,30.608286586693552
AA_,0.46194030024141197,0.7201894056098644,12.02322158680104,21.05574603836151
AN_,1.0947747734654667,0.8202547377526939,19.871280170323928,15.250388252873565
A__,0.594471062710402,0.6956846367871123,15.092795112432848,21.306664879892555
BB_,0.8097849320519391,0.6886789690290146,27.613795401754388,27.052346720175436
BH_,0.9805519017601718,0.44572615815557004,24.063010351126927,18.388173234875445
BI_,1.1122635066822124,0.42229633114419984,24.997731700836823,9.719089299163182
B__,0.8242188569782742,0.6826545303596722,26.90714217820946,26.19759915625
CH_,1.0118162298023332,0.3975613537601818,23.541044598083428,17.5143291319053
CN_,0.8615575790439005,0.836332269631653,18.98538653367876,17.606702485492228
C__,1.1430896894201743,0.5800474750635259,22.661284237385324,17.898254744839452
DDH,1.1129892136139978,0.5660165893888655,23.168757455120833,17.81967025949367
DD_,1.0702082320584014,0.5394827990514032,25.41016991949153,18.62078466464891
DHR,0.8810386481670405,0.35349339381565165,17.16147451360544,9.0532889138322
DH_,0.7057392658576643,0.4945850317452992,22.08852474769053,18.950724321016164
